Video Information,,,,,,,,,,Dolphin Information,,,,,,,,,,,,,,,,,,Vessel and Swimmer Information,,,,,,,,NOTES
Posted_Date,Interaction_Date,Encounter_No,Platform,Search_Term,Hashtags,Video_Length,Time_Point,Video_Quality,Video_Location,Dolphin_Presence,General_Location,BSS,DSS,Total_Min,Total_Max,Total_Best,Calves_Min,Calves_Max,Calves_Best,YoY_Min,YoY_Max,YoY_Best,Sex,Subgroups,Group_Cohesion,PDGBehav,HIBehav,Vessels_10m,Vessels_50m,PDVBehav,Vessel_Names,Swimmers_10,Swimmers_50,PDSBehav,IRC,
09/08/2023,NA,0004,FB,Icacos_Dolphins,NA,1:23,0:40,4,BO,Y,Icacos_WestBeach,1,0,2,3,3,1,1,1,0,0,0,UNK,1,2,RML,NA,1,2,NP,NA,0,0,NA,D2,
09/08/2023,NA,0004,FB,Icacos_Dolphins,NA,1:23,0:45,4,BO,Y,Icacos_WestBeach,1,0,2,3,3,1,1,1,0,0,0,UNK,1,2,RML,NA,1,2,NP,NA,0,0,NA,D2,
09/08/2023,NA,0004,FB,Icacos_Dolphins,NA,1:23,0:50,4,BO,Y,Icacos_WestBeach,1,0,2,3,3,1,1,1,0,0,0,UNK,1,2,RML,NA,1,2,NP,NA,0,0,NA,D2,
09/08/2023,NA,0004,FB,Icacos_Dolphins,NA,1:23,0:55,4,BO,Y,Icacos_WestBeach,1,0,2,3,3,1,1,1,0,0,0,UNK,1,2,RML,NA,1,2,NP,NA,0,0,NA,D2,
09/08/2023,NA,0004,FB,Icacos_Dolphins,NA,1:23,1:00,4,BO,Y,Icacos_WestBeach,1,0,2,3,3,1,1,1,0,0,0,UNK,1,2,RML,NA,1,2,NP,NA,0,0,NA,D2,
09/08/2023,NA,0004,FB,Icacos_Dolphins,NA,1:23,1:05,4,BO,Y,Icacos_WestBeach,1,0,2,3,3,1,1,1,0,0,0,UNK,1,2,TRV,NA,1,2,NP,NA,0,0,NA,NA,Stop RML
09/08/2023,NA,0004,FB,Icacos_Dolphins,NA,1:23,1:10,4,BO,Y,Icacos_WestBeach,1,0,3,3,3,1,1,1,0,0,0,UNK,1,1,TRV,NA,1,3,NP,NA,0,0,NA,NA,
09/08/2023,NA,0004,FB,Icacos_Dolphins,NA,1:23,1:15,4,BO,Y,Icacos_WestBeach,1,0,3,3,3,1,1,1,0,0,0,UNK,1,1,TRV,NA,1,3,NP,NA,0,0,NA,NA,
09/08/2023,NA,0004,FB,Icacos_Dolphins,NA,1:23,1:20,4,BO,Y,Icacos_WestBeach,1,0,3,3,3,1,1,1,0,0,0,UNK,1,1,TRV,NA,1,3,NP,NA,0,0,NA,NA,
02/14/2023,NA,0005,FB,Icacos_Dolphins,#PuertoRico#PR#Dolphins#Beach#Clearwater,0:29,0:05,3,BO,Y,Icacos_WestBeach,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,TRV,NA,2,3,NP,NA,3,3,NP,D2,
